"title","price"
"رژ لب جامد ساتین گلدن رز","118,000"
"پالت صورت و چشم سیتی استایل گلدن رز","399,000"
"ریمل لش پلامپینگ گلدن رز","149,000"
"کانسیلر مایع اچ دی گلدن رز 3ml","157,000"
"بالم لب گلدن رز","105,000"
"پرایمر لب گلدن رز","125,000"
"رژ لب و گونه مایع ولوت گلدن رز","148,000"
"پودر فیکس کننده آرایش گلدن رز","239,000"
"ریمل حجم دهنده اسموکی لش گلدن رز","139,000"
"مداد کانتورینگ گلدن رز","109,000"
"مداد لب دریم گلدن رز","69,000"
"رژ لب مایع مات بادوام گلدن رز","138,000"
"رژ لب مات مخملی گلدن رز","139,000"
"پرایمر مژه گلدن رز","65,000"
"پرایمر سایه چشم گلدن رز","149,000"
"پالت کانتورینگ گلدن رز","239,000"
"مداد چشم کژال گلدن رز","118,000"
"پالت کانسیلر گلدن رز","295,000"
"اسپری فیکساتور آرایش گلدن رز","185,000"
"ریمل اینفینیتی گلدن رز","198,000"
"مداد ابرو دریم گلدن رز","75,000"
"مداد چشم اسموکی افکت گلدن رز","129,000"
"کانسیلر استیکی گلدن رز","115,000"
"کانسیلر مایع گلدن رز","80,000"
"خط چشم پرفکت گلدن رز","112,000"
"پرایمر آرایش مات گلدن رز","395,000"
"بی بی کرم گلدن رز","259,000"
"رژ لب مدادی مات گلدن رز","92,000"
"بالم لب رنگی Glow Kiss حاوی SPF 15 گلدن رز","132,000"
"ریمل حجم دهنده و بلند کننده Miss Beauty گلدن رز","111,860"
"ریمل حجم دهنده و بلند کننده Endless Lashes گلدن رز 13ml","149,000"
"ریمل بلند کننده Mega Lashes گلدن رز 12ml","148,520"
"ریمل حجم دهنده و بلند کننده Lash Loving گلدن رز 12ml","139,000"
"کرم پودر 24 ساعته SPF15 گلدن رز 35ml","389,000"
"هایلایتر استیکی Miss Beauty گلدن رز","145,000"
"رژ لب مدادی براق کرمی Nude Look گلدن رز","135,000"
"رژ لب مایع کرمی مات Soft & Matte گلدن رز","145,000"
"براش مخروطی Face Tapered گلدن رز","135,000"
"مداد چشم رنگی Miss Beauty گلدن رز","72,000"
"براش هایلایتر Tapered Highlighter گلدن رز","95,000"
"رژ گونه استیکی Miss Beauty گلدن رز","158,000"
"ریمل آبی Perfect Lashes گلدن رز","106,950"
"رژ لب مایع براق Nude Look گلدن رز","138,000"
"رژ لب مایع مات Nude Look گلدن رز","159,000"
"پک رژ لب جامد مینی گلدن رز سری MIX2","165,000"
"سایه چشم دایموند بریز گلدن رز","105,000"
"رژ لب جامد دایموند بریز گلدن رز","92,000"
"پالت هایلایتر استروبینگ گلدن رز","332,000"
"ریمل حجم دهنده Nude Look گلدن رز","139,000"
"ریمل حجم دهنده و بلند کننده دراماتیک لشز گلدن رز","149,000"
"رژ لب مدادی اسمارت گلدن رز","105,000"
"خط چشم ضد آب وینیل لاینر گلدن رز","138,000"
"خط چشم ماژیکی اسمارت لاینر گلدن رز","138,000"
"پرایمر رنگی براق گلدن رز","225,000"
"صاف کننده ناخن گلدن رز","145,000"
"سی سی کرم نارنجی گلدن رز","160,000"
"سی سی کرم زرد گلدن رز","160,000"
"روغن زیبایی ناخن گلدن رز","145,000"
"کرم پودر و کانسیلر توتال کاور گلدن رز","299,000"
